gene_name	hgnc_id	disease_label	mondo_disease_id	classification	chromosome	start	end	strand	gene_id	transcript_id	protein_id	uniprot_id	entrez_id	mondo_ancestor_id	ancestor_label
MTRFR	HGNC:26784	Leigh syndrome	MONDO_0009723	Definitive	12	123233385.0	123258079.0	+	ENSG00000130921	ENST00000253233	ENSP00000253233	Q9H3J6	91574	MONDO_0021147	disorder of development or morphogenesis
MTRFR	HGNC:26784	Leigh syndrome	MONDO_0009723	Definitive	12	123233385.0	123258079.0	+	ENSG00000130921	ENST00000253233	ENSP00000253233	Q9H3J6	91574	MONDO_0005066	metabolic disease
MTRFR	HGNC:26784	Leigh syndrome	MONDO_0009723	Definitive	12	123233385.0	123258079.0	+	ENSG00000130921	ENST00000253233	ENSP00000253233	Q9H3J6	91574	MONDO_0005071	nervous system disorder
MTRFR	HGNC:26784	Leigh syndrome	MONDO_0009723	Definitive	12	123233385.0	123258079.0	+	ENSG00000130921	ENST00000253233	ENSP00000253233	Q9H3J6	91574	MONDO_0044970	mitochondrial disease
MTRR	HGNC:7473	methylcobalamin deficiency type cblE	MONDO_0009354	Definitive	5	7851186.0	7906025.0	+	ENSG00000124275	ENST00000440940	ENSP00000402510	Q9UBK8	4552	MONDO_0005066	metabolic disease
MTRR	HGNC:7473	methylcobalamin deficiency type cblE	MONDO_0009354	Definitive	5	7851186.0	7906025.0	+	ENSG00000124275	ENST00000440940	ENSP00000402510	Q9UBK8	4552	MONDO_0005570	hematologic disorder
MTRR	HGNC:7473	methylcobalamin deficiency type cblE	MONDO_0009354	Definitive	5	7851186.0	7906025.0	+	ENSG00000124275	ENST00000440940	ENSP00000402510	Q9UBK8	4552	MONDO_0005137	nutritional disorder
MUC1	HGNC:7508	tubulointerstitial kidney disease, autosomal dominant, 2	MONDO_0020726	Definitive	1	155185824.0	155192916.0	-	ENSG00000185499	ENST00000620103			4582	MONDO_0002118	urinary system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0005039	reproductive system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0005151	endocrine system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0005039	reproductive system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0005151	endocrine system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0005039	reproductive system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0005151	endocrine system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0005039	reproductive system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0005151	endocrine system disorder
MUTYH	HGNC:7527	familial ovarian cancer	MONDO_0016248	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	familial adenomatous polyposis 2	MONDO_0012041	Definitive	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	familial adenomatous polyposis 2	MONDO_0012041	Definitive	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	hereditary breast carcinoma	MONDO_0016419	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0002657	breast disorder
MUTYH	HGNC:7527	hereditary breast carcinoma	MONDO_0016419	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	hereditary breast carcinoma	MONDO_0016419	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0002657	breast disorder
MUTYH	HGNC:7527	hereditary breast carcinoma	MONDO_0016419	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	colorectal cancer	MONDO_0005575	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0004335	digestive system disorder
MUTYH	HGNC:7527	colorectal cancer	MONDO_0005575	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	colorectal cancer	MONDO_0005575	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0004335	digestive system disorder
MUTYH	HGNC:7527	colorectal cancer	MONDO_0005575	Disputed	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	hereditary breast carcinoma	MONDO_0016419	Refuted	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0002657	breast disorder
MUTYH	HGNC:7527	hereditary breast carcinoma	MONDO_0016419	Refuted	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000456914	ENSP00000407590	Q9UIF7	4595	MONDO_0045024	cancer or benign tumor
MUTYH	HGNC:7527	hereditary breast carcinoma	MONDO_0016419	Refuted	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0002657	breast disorder
MUTYH	HGNC:7527	hereditary breast carcinoma	MONDO_0016419	Refuted	1	45329163.0	45340893.0	-	ENSG00000132781	ENST00000710952			4595	MONDO_0045024	cancer or benign tumor
MVK	HGNC:7530	mevalonate kinase deficiency	MONDO_0017708	Definitive	12	109573255.0	109598125.0	+	ENSG00000110921	ENST00000228510	ENSP00000228510	Q03426	4598	MONDO_0021147	disorder of development or morphogenesis
MVK	HGNC:7530	mevalonate kinase deficiency	MONDO_0017708	Definitive	12	109573255.0	109598125.0	+	ENSG00000110921	ENST00000228510	ENSP00000228510	Q03426	4598	MONDO_0005066	metabolic disease
MVK	HGNC:7530	mevalonate kinase deficiency	MONDO_0017708	Definitive	12	109573255.0	109598125.0	+	ENSG00000110921	ENST00000228510	ENSP00000228510	Q03426	4598	MONDO_0003900	connective tissue disorder
MYBPC3	HGNC:7551	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	Limited	11	47331406.0	47352702.0	-	ENSG00000134571	ENST00000545968	ENSP00000442795	Q14896	4607	MONDO_0002081	musculoskeletal system disorder
MYBPC3	HGNC:7551	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	Limited	11	47331406.0	47352702.0	-	ENSG00000134571	ENST00000545968	ENSP00000442795	Q14896	4607	MONDO_0004995	cardiovascular disorder
MYBPC3	HGNC:7551	congenital heart disease	MONDO_0005453	Limited	11	47331406.0	47352702.0	-	ENSG00000134571	ENST00000545968	ENSP00000442795	Q14896	4607	MONDO_0021147	disorder of development or morphogenesis
MYBPC3	HGNC:7551	congenital heart disease	MONDO_0005453	Limited	11	47331406.0	47352702.0	-	ENSG00000134571	ENST00000545968	ENSP00000442795	Q14896	4607	MONDO_0004995	cardiovascular disorder
MYBPC3	HGNC:7551	dilated cardiomyopathy	MONDO_0005021	Limited	11	47331406.0	47352702.0	-	ENSG00000134571	ENST00000545968	ENSP00000442795	Q14896	4607	MONDO_0002081	musculoskeletal system disorder
MYBPC3	HGNC:7551	dilated cardiomyopathy	MONDO_0005021	Limited	11	47331406.0	47352702.0	-	ENSG00000134571	ENST00000545968	ENSP00000442795	Q14896	4607	MONDO_0004995	cardiovascular disorder
MYBPC3	HGNC:7551	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	11	47331406.0	47352702.0	-	ENSG00000134571	ENST00000545968	ENSP00000442795	Q14896	4607	MONDO_0002081	musculoskeletal system disorder
MYBPC3	HGNC:7551	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	11	47331406.0	47352702.0	-	ENSG00000134571	ENST00000545968	ENSP00000442795	Q14896	4607	MONDO_0004995	cardiovascular disorder
MYH10	HGNC:7568	complex neurodevelopmental disorder with or without congenital anomalies	MONDO_0100465	Definitive	17	8474207.0	8631376.0	-	ENSG00000133026	ENST00000360416	ENSP00000353590	P35580	4628	MONDO_0005071	nervous system disorder
MYH11	HGNC:7569	congenital heart disease	MONDO_0005453	Limited	16	15703135.0	15858438.0	-	ENSG00000133392	ENST00000300036	ENSP00000300036	P35749	4629	MONDO_0021147	disorder of development or morphogenesis
MYH11	HGNC:7569	congenital heart disease	MONDO_0005453	Limited	16	15703135.0	15858438.0	-	ENSG00000133392	ENST00000300036	ENSP00000300036	P35749	4629	MONDO_0004995	cardiovascular disorder
MYH11	HGNC:7569	congenital heart disease	MONDO_0005453	Limited	16	15703135.0	15858438.0	-	ENSG00000133392	ENST00000452625	ENSP00000407821	P35749	4629	MONDO_0021147	disorder of development or morphogenesis
MYH11	HGNC:7569	congenital heart disease	MONDO_0005453	Limited	16	15703135.0	15858438.0	-	ENSG00000133392	ENST00000452625	ENSP00000407821	P35749	4629	MONDO_0004995	cardiovascular disorder
MYH14	HGNC:23212	nonsyndromic genetic hearing loss	MONDO_0019497	Moderate	19	50188186.0	50310542.0	+	ENSG00000105357	ENST00000642316	ENSP00000493594	Q7Z406	79784	MONDO_0002025	psychiatric disorder
MYH14	HGNC:23212	nonsyndromic genetic hearing loss	MONDO_0019497	Moderate	19	50188186.0	50310542.0	+	ENSG00000105357	ENST00000642316	ENSP00000493594	Q7Z406	79784	MONDO_0002409	auditory system disorder
MYH14	HGNC:23212	nonsyndromic genetic hearing loss	MONDO_0019497	Moderate	19	50188186.0	50310542.0	+	ENSG00000105357	ENST00000642316	ENSP00000493594	Q7Z406	79784	MONDO_0005071	nervous system disorder
MYH2	HGNC:7572	myopathy, proximal, and ophthalmoplegia	MONDO_0011577	Moderate	17	10521148.0	10549700.0	-	ENSG00000125414	ENST00000245503	ENSP00000245503	Q9UKX2	4620	MONDO_0021166	inflammatory disease
MYH2	HGNC:7572	myopathy, proximal, and ophthalmoplegia	MONDO_0011577	Moderate	17	10521148.0	10549700.0	-	ENSG00000125414	ENST00000245503	ENSP00000245503	Q9UKX2	4620	MONDO_0002081	musculoskeletal system disorder
MYH2	HGNC:7572	myopathy, proximal, and ophthalmoplegia	MONDO_0011577	Definitive	17	10521148.0	10549700.0	-	ENSG00000125414	ENST00000245503	ENSP00000245503	Q9UKX2	4620	MONDO_0021166	inflammatory disease
MYH2	HGNC:7572	myopathy, proximal, and ophthalmoplegia	MONDO_0011577	Definitive	17	10521148.0	10549700.0	-	ENSG00000125414	ENST00000245503	ENSP00000245503	Q9UKX2	4620	MONDO_0002081	musculoskeletal system disorder
MYH6	HGNC:7576	MYH-6 related congenital heart defects	MONDO_0800442	Definitive	14	23381982.0	23408273.0	-	ENSG00000197616	ENST00000405093	ENSP00000386041	P13533	4624	MONDO_0021147	disorder of development or morphogenesis
MYH6	HGNC:7576	MYH-6 related congenital heart defects	MONDO_0800442	Definitive	14	23381982.0	23408273.0	-	ENSG00000197616	ENST00000405093	ENSP00000386041	P13533	4624	MONDO_0004995	cardiovascular disorder
MYH6	HGNC:7576	dilated cardiomyopathy	MONDO_0005021	Limited	14	23381982.0	23408273.0	-	ENSG00000197616	ENST00000405093	ENSP00000386041	P13533	4624	MONDO_0002081	musculoskeletal system disorder
MYH6	HGNC:7576	dilated cardiomyopathy	MONDO_0005021	Limited	14	23381982.0	23408273.0	-	ENSG00000197616	ENST00000405093	ENSP00000386041	P13533	4624	MONDO_0004995	cardiovascular disorder
MYH6	HGNC:7576	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	14	23381982.0	23408273.0	-	ENSG00000197616	ENST00000405093	ENSP00000386041	P13533	4624	MONDO_0002081	musculoskeletal system disorder
MYH6	HGNC:7576	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	14	23381982.0	23408273.0	-	ENSG00000197616	ENST00000405093	ENSP00000386041	P13533	4624	MONDO_0004995	cardiovascular disorder
MYH7	HGNC:7577	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	Limited	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0002081	musculoskeletal system disorder
MYH7	HGNC:7577	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	Limited	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0004995	cardiovascular disorder
MYH7	HGNC:7577	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0002081	musculoskeletal system disorder
MYH7	HGNC:7577	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0004995	cardiovascular disorder
MYH7	HGNC:7577	dilated cardiomyopathy	MONDO_0005021	Definitive	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0002081	musculoskeletal system disorder
MYH7	HGNC:7577	dilated cardiomyopathy	MONDO_0005021	Definitive	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0004995	cardiovascular disorder
MYH7	HGNC:7577	MYH7-related skeletal myopathy	MONDO_0008050	Definitive	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0002081	musculoskeletal system disorder
MYH7	HGNC:7577	MYH7-related skeletal myopathy	MONDO_0008050	Definitive	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0005071	nervous system disorder
MYH7	HGNC:7577	congenital heart disease	MONDO_0005453	Limited	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0021147	disorder of development or morphogenesis
MYH7	HGNC:7577	congenital heart disease	MONDO_0005453	Limited	14	23412740.0	23435660.0	-	ENSG00000092054	ENST00000355349	ENSP00000347507	P12883	4625	MONDO_0004995	cardiovascular disorder
MYH9	HGNC:7579	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	MONDO_0015912	Definitive	22	36281280.0	36388010.0	-	ENSG00000100345	ENST00000216181	ENSP00000216181	P35579	4627	MONDO_0005570	hematologic disorder
MYL1	HGNC:7582	congenital myopathy	MONDO_0019952	Limited	2	210290150.0	210315174.0	-	ENSG00000168530	ENST00000352451	ENSP00000307280	P05976	4632	MONDO_0002081	musculoskeletal system disorder
MYL2	HGNC:7583	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	12	110909996.0	111052434.0	-	ENSG00000111245	ENST00000228841	ENSP00000228841	P10916	4633	MONDO_0002081	musculoskeletal system disorder
MYL2	HGNC:7583	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	12	110909996.0	111052434.0	-	ENSG00000111245	ENST00000228841	ENSP00000228841	P10916	4633	MONDO_0004995	cardiovascular disorder
MYL2	HGNC:7583	dilated cardiomyopathy	MONDO_0005021	Limited	12	110909996.0	111052434.0	-	ENSG00000111245	ENST00000228841	ENSP00000228841	P10916	4633	MONDO_0002081	musculoskeletal system disorder
MYL2	HGNC:7583	dilated cardiomyopathy	MONDO_0005021	Limited	12	110909996.0	111052434.0	-	ENSG00000111245	ENST00000228841	ENSP00000228841	P10916	4633	MONDO_0004995	cardiovascular disorder
MYL2	HGNC:7583	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	No Known Disease Relationship	12	110909996.0	111052434.0	-	ENSG00000111245	ENST00000228841	ENSP00000228841	P10916	4633	MONDO_0002081	musculoskeletal system disorder
MYL2	HGNC:7583	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	No Known Disease Relationship	12	110909996.0	111052434.0	-	ENSG00000111245	ENST00000228841	ENSP00000228841	P10916	4633	MONDO_0004995	cardiovascular disorder
MYL3	HGNC:7584	dilated cardiomyopathy	MONDO_0005021	Disputed	3	46835110.0	46882178.0	-	ENSG00000160808	ENST00000292327	ENSP00000292327	P08590	4634	MONDO_0002081	musculoskeletal system disorder
MYL3	HGNC:7584	dilated cardiomyopathy	MONDO_0005021	Disputed	3	46835110.0	46882178.0	-	ENSG00000160808	ENST00000292327	ENSP00000292327	P08590	4634	MONDO_0004995	cardiovascular disorder
MYL3	HGNC:7584	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	Limited	3	46835110.0	46882178.0	-	ENSG00000160808	ENST00000292327	ENSP00000292327	P08590	4634	MONDO_0002081	musculoskeletal system disorder
MYL3	HGNC:7584	arrhythmogenic right ventricular cardiomyopathy	MONDO_0016587	Limited	3	46835110.0	46882178.0	-	ENSG00000160808	ENST00000292327	ENSP00000292327	P08590	4634	MONDO_0004995	cardiovascular disorder
MYL3	HGNC:7584	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	3	46835110.0	46882178.0	-	ENSG00000160808	ENST00000292327	ENSP00000292327	P08590	4634	MONDO_0002081	musculoskeletal system disorder
MYL3	HGNC:7584	hypertrophic cardiomyopathy	MONDO_0005045	Definitive	3	46835110.0	46882178.0	-	ENSG00000160808	ENST00000292327	ENSP00000292327	P08590	4634	MONDO_0004995	cardiovascular disorder
MYLK2	HGNC:16243	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	20	31819308.0	31834689.0	+	ENSG00000101306	ENST00000375985	ENSP00000365152	Q9H1R3	85366	MONDO_0002081	musculoskeletal system disorder
MYLK2	HGNC:16243	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	20	31819308.0	31834689.0	+	ENSG00000101306	ENST00000375985	ENSP00000365152	Q9H1R3	85366	MONDO_0004995	cardiovascular disorder
MYMK	HGNC:33778	obsolete Carey-Fineman-Ziter syndrome	MONDO_0009700	Definitive	9	133514586.0	133528612.0	-	ENSG00000187616	ENST00000339996	ENSP00000419712	A6NI61	389827		
MYO15A	HGNC:7594	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	17	18108756.0	18179802.0	+	ENSG00000091536	ENST00000647165	ENSP00000495481	Q9UKN7	51168	MONDO_0002025	psychiatric disorder
MYO15A	HGNC:7594	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	17	18108756.0	18179802.0	+	ENSG00000091536	ENST00000647165	ENSP00000495481	Q9UKN7	51168	MONDO_0002409	auditory system disorder
MYO15A	HGNC:7594	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	17	18108756.0	18179802.0	+	ENSG00000091536	ENST00000647165	ENSP00000495481	Q9UKN7	51168	MONDO_0005071	nervous system disorder
MYO18B	HGNC:18150	Klippel-Feil anomaly-myopathy-facial dysmorphism syndrome	MONDO_0014689	Moderate	22	25742144.0	26031045.0	+	ENSG00000133454	ENST00000335473	ENSP00000334563	Q8IUG5	84700	MONDO_0002081	musculoskeletal system disorder
MYO1A	HGNC:7595	nonsyndromic genetic hearing loss	MONDO_0019497	Refuted	12	57028517.0	57051198.0	-	ENSG00000166866	ENST00000300119	ENSP00000300119	Q9UBC5	4640	MONDO_0002025	psychiatric disorder
MYO1A	HGNC:7595	nonsyndromic genetic hearing loss	MONDO_0019497	Refuted	12	57028517.0	57051198.0	-	ENSG00000166866	ENST00000300119	ENSP00000300119	Q9UBC5	4640	MONDO_0002409	auditory system disorder
MYO1A	HGNC:7595	nonsyndromic genetic hearing loss	MONDO_0019497	Refuted	12	57028517.0	57051198.0	-	ENSG00000166866	ENST00000300119	ENSP00000300119	Q9UBC5	4640	MONDO_0005071	nervous system disorder
MYO1C	HGNC:7597	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	17	1464186.0	1492686.0	-	ENSG00000197879	ENST00000648651	ENSP00000496954	O00159	4641	MONDO_0002025	psychiatric disorder
MYO1C	HGNC:7597	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	17	1464186.0	1492686.0	-	ENSG00000197879	ENST00000648651	ENSP00000496954	O00159	4641	MONDO_0002409	auditory system disorder
MYO1C	HGNC:7597	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	17	1464186.0	1492686.0	-	ENSG00000197879	ENST00000648651	ENSP00000496954	O00159	4641	MONDO_0005071	nervous system disorder
MYO1F	HGNC:7600	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	19	8517463.0	8577442.0	-	ENSG00000142347	ENST00000644032	ENSP00000494550	O00160	4542	MONDO_0002025	psychiatric disorder
MYO1F	HGNC:7600	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	19	8517463.0	8577442.0	-	ENSG00000142347	ENST00000644032	ENSP00000494550	O00160	4542	MONDO_0002409	auditory system disorder
MYO1F	HGNC:7600	nonsyndromic genetic hearing loss	MONDO_0019497	Disputed	19	8517463.0	8577442.0	-	ENSG00000142347	ENST00000644032	ENSP00000494550	O00160	4542	MONDO_0005071	nervous system disorder
MYO3A	HGNC:7601	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	10	25934229.0	26212532.0	+	ENSG00000095777	ENST00000642920	ENSP00000495965	Q8NEV4	53904	MONDO_0002025	psychiatric disorder
MYO3A	HGNC:7601	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	10	25934229.0	26212532.0	+	ENSG00000095777	ENST00000642920	ENSP00000495965	Q8NEV4	53904	MONDO_0002409	auditory system disorder
MYO3A	HGNC:7601	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	10	25934229.0	26212532.0	+	ENSG00000095777	ENST00000642920	ENSP00000495965	Q8NEV4	53904	MONDO_0005071	nervous system disorder
MYO5A	HGNC:7602	Griscelli syndrome type 1	MONDO_0008962	Definitive	15	52307281.0	52529132.0	-	ENSG00000197535	ENST00000399233	ENSP00000382179	Q9Y4I1	4644	MONDO_0005066	metabolic disease
MYO5A	HGNC:7602	Griscelli syndrome type 1	MONDO_0008962	Definitive	15	52307281.0	52529132.0	-	ENSG00000197535	ENST00000399233	ENSP00000382179	Q9Y4I1	4644	MONDO_0002051	integumentary system disorder
MYO5A	HGNC:7602	Griscelli syndrome type 1	MONDO_0008962	Definitive	15	52307281.0	52529132.0	-	ENSG00000197535	ENST00000399233	ENSP00000382179	Q9Y4I1	4644	MONDO_0005071	nervous system disorder
MYO6	HGNC:7605	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	6	75749201.0	75919537.0	+	ENSG00000196586	ENST00000369977	ENSP00000358994	Q9UM54	4646	MONDO_0002025	psychiatric disorder
MYO6	HGNC:7605	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	6	75749201.0	75919537.0	+	ENSG00000196586	ENST00000369977	ENSP00000358994	Q9UM54	4646	MONDO_0002409	auditory system disorder
MYO6	HGNC:7605	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	6	75749201.0	75919537.0	+	ENSG00000196586	ENST00000369977	ENSP00000358994	Q9UM54	4646	MONDO_0005071	nervous system disorder
MYO7A	HGNC:7606	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	11	77128246.0	77215241.0	+	ENSG00000137474	ENST00000409709	ENSP00000386331	Q13402	4647	MONDO_0002025	psychiatric disorder
MYO7A	HGNC:7606	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	11	77128246.0	77215241.0	+	ENSG00000137474	ENST00000409709	ENSP00000386331	Q13402	4647	MONDO_0002409	auditory system disorder
MYO7A	HGNC:7606	nonsyndromic genetic hearing loss	MONDO_0019497	Definitive	11	77128246.0	77215241.0	+	ENSG00000137474	ENST00000409709	ENSP00000386331	Q13402	4647	MONDO_0005071	nervous system disorder
MYOC	HGNC:7610	open-angle glaucoma	MONDO_0005338	Definitive	1	171635417.0	171652688.0	-	ENSG00000034971	ENST00000037502	ENSP00000037502	Q99972	4653	MONDO_0002022	disorder of orbital region
MYOC	HGNC:7610	open-angle glaucoma	MONDO_0005338	Definitive	1	171635417.0	171652688.0	-	ENSG00000034971	ENST00000037502	ENSP00000037502	Q99972	4653	MONDO_0024458	disorder of visual system
MYOM1	HGNC:7613	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	18	3066807.0	3219968.0	-	ENSG00000101605	ENST00000356443	ENSP00000348821	P52179	8736	MONDO_0002081	musculoskeletal system disorder
MYOM1	HGNC:7613	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	18	3066807.0	3219968.0	-	ENSG00000101605	ENST00000356443	ENSP00000348821	P52179	8736	MONDO_0004995	cardiovascular disorder
MYOZ2	HGNC:1330	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	4	119135832.0	119187789.0	+	ENSG00000172399	ENST00000307128	ENSP00000306997	Q9NPC6	51778	MONDO_0002081	musculoskeletal system disorder
MYOZ2	HGNC:1330	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	4	119135832.0	119187789.0	+	ENSG00000172399	ENST00000307128	ENSP00000306997	Q9NPC6	51778	MONDO_0004995	cardiovascular disorder
MYPN	HGNC:23246	MYPN-related myopathy	MONDO_0015023	Definitive	10	68087897.0	68212017.0	+	ENSG00000138347	ENST00000358913	ENSP00000351790	Q86TC9	84665	MONDO_0002081	musculoskeletal system disorder
MYPN	HGNC:23246	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	10	68087897.0	68212017.0	+	ENSG00000138347	ENST00000358913	ENSP00000351790	Q86TC9	84665	MONDO_0002081	musculoskeletal system disorder
MYPN	HGNC:23246	hypertrophic cardiomyopathy	MONDO_0005045	Disputed	10	68087897.0	68212017.0	+	ENSG00000138347	ENST00000358913	ENSP00000351790	Q86TC9	84665	MONDO_0004995	cardiovascular disorder
MYPN	HGNC:23246	dilated cardiomyopathy	MONDO_0005021	Limited	10	68087897.0	68212017.0	+	ENSG00000138347	ENST00000358913	ENSP00000351790	Q86TC9	84665	MONDO_0002081	musculoskeletal system disorder
MYPN	HGNC:23246	dilated cardiomyopathy	MONDO_0005021	Limited	10	68087897.0	68212017.0	+	ENSG00000138347	ENST00000358913	ENSP00000351790	Q86TC9	84665	MONDO_0004995	cardiovascular disorder
